city,neighbourhood,total_count,average_price
Mexico City,Iztapalapa,188,2570.96
Cape Town,Ward 64,187,904.23
Hong Kong,Yau Tsim Mong,185,695.31
New York,Greenwich Village,185,294.83
Istanbul,Esenyurt,183,210.04
New York,Elmhurst,183,51.15
Sydney,Willoughby,183,165.28
Paris,Opera,181,181.54
Paris,Temple,180,89.1
Rio de Janeiro,Laranjeiras,179,212.94
New York,Sunnyside,179,58.7
Bangkok,Bang Kapi,178,1370.99
Rio de Janeiro,Tijuca,177,846.16
New York,SoHo,177,334.24
Cape Town,Ward 73,177,1856.55
Paris,Elysee,177,378.09
Mexico City,Cuauhtemoc,176,435.2
Bangkok,Bang Sue,175,1246.39
Rio de Janeiro,Flamengo,175,247.49
Sydney,Bankstown,175,77.35
Mexico City,Cuajimalpa de Morelos,175,807.47
Istanbul,Bagcilar,174,451.41
Sydney,The Hills Shire,172,75.02
Rio de Janeiro,Catete,170,333.51
Rome,III Monte Sacro,170,41.41
Hong Kong,Kowloon City,166,745.59
Sydney,Auburn,165,159.79
New York,Prospect-Lefferts Gardens,165,62.34
Cape Town,Ward 4,164,2378.63
Cape Town,Ward 107,164,754.18
Cape Town,Ward 113,161,1327.06
New York,Gramercy,161,228.19
Bangkok,Parthum Wan,161,2514.76
Paris,Palais-Bourbon,161,211.48
Istanbul,Sariyer,161,2181.42
Sydney,Lane Cove,159,316.24
Rio de Janeiro,Centro,158,305.75
Istanbul,Atasehir,158,203.89
New York,Sunset Park,157,61.16
New York,Clinton Hill,156,91.84
New York,Long Island City,156,232.3
Bangkok,Vadhana,155,2038.22
Paris,Hotel-de-Ville,155,129.58
Sydney,Ku-Ring-Gai,153,228.19
Hong Kong,Yau Tsim Mong,152,915.76
Rome,XV Cassia/Flaminia,152,65.08
New York,Chinatown,152,215.91
New York,Jackson Heights,151,53.11
Sydney,Burwood,149,76.68
Bangkok,Khlong Toei,149,4292.42
Istanbul,Bakirkoy,148,266.67
Istanbul,Sariyer,148,391.55
Sydney,Ku-Ring-Gai,147,90.97
Rio de Janeiro,Gloria,147,574.1
New York,South Slope,146,171.37
Cape Town,Ward 61,146,1017.4
Bangkok,Bang Kapi,144,1077.65
Mexico City,Azcapotzalco,144,562.39
Hong Kong,Eastern,143,359.72
Bangkok,Thon buri,143,1314.11
Rio de Janeiro,Leblon,143,419.94
New York,Sunset Park,142,169.61
Istanbul,Maltepe,142,454.08
Mexico City,Iztacalco,142,475.27
Bangkok,Phra Nakhon,142,1175.48
Mexico City,Gustavo A. Madero,140,972.9
Sydney,City Of Kogarah,139,68.47
Sydney,Sutherland Shire,139,94.47
Bangkok,Don Mueang,139,1142.83
Rome,VI Roma delle Torri,138,36.73
New York,Prospect Heights,138,190.55
Bangkok,Yan na wa,138,2740.68
Paris,Louvre,138,138.22
New York,Nolita,138,218.46
Istanbul,Bahcelievler,137,182.67
Cape Town,Ward 1,137,1352.42
Hong Kong,Kowloon City,136,1020
Bangkok,Bang Phlat,136,1417.83
New York,East Flatbush,135,129.61
Istanbul,Beyoglu,135,181.93
Rio de Janeiro,Gavea,134,1060.22
New York,Carroll Gardens,132,195.08
New York,Morningside Heights,130,78.13
Istanbul,Avcilar,129,495.95
Rio de Janeiro,Jardim Botanico,128,969.17
Sydney,Ashfield,127,134.45
Cape Town,Ward 113,127,534.87
Cape Town,Ward 62,127,1198.81
Istanbul,Pendik,126,222.96
Rio de Janeiro,Sao Conrado,125,3688.04
Istanbul,Adalar,124,948.38
New York,Theater District,124,268.41
New York,Ditmars Steinway,123,66.16
Hong Kong,North,122,808.32
Cape Town,Ward 59,122,1070.9
New York,Tribeca,121,458.64
Sydney,Ashfield,121,163.31
Istanbul,Umraniye,119,312.51
Sydney,The Hills Shire,119,392.23
Mexico City,Cuauhtemoc,119,1790.78
Bangkok,Lat Krabang,118,1575.17
Bangkok,Lat Krabang,118,1220.24
Bangkok,Phra Nakhon,117,1640.85
Sydney,Canterbury,115,144.46
Sydney,Strathfield,113,106.19
Bangkok,Bangkok Noi,113,1850.64
Cape Town,Ward 53,113,1025.86
Cape Town,Ward 4,112,1345.27
Paris,Luxembourg,111,199.41
Istanbul,Eyup,111,353.14
Rio de Janeiro,Copacabana,110,761.52
Cape Town,Ward 100,110,2602.55
Hong Kong,Eastern,110,928.27
Istanbul,Sile,109,875.94
New York,Boerum Hill,109,209.17
Bangkok,Thon buri,109,1982.43
Bangkok,Phasi Charoen,108,1428.7
Hong Kong,Wan Chai,108,446.5
Istanbul,Eyup,108,478.75
Mexico City,Iztacalco,108,1034.06
Bangkok,Bang Phlat,108,1790.88
Rio de Janeiro,Humaita,108,815.64
Rome,IX Eur,108,48.01
Bangkok,Bang Sue,107,1527.4
Istanbul,Umraniye,107,362.48
New York,Jamaica,107,61.26
New York,Gowanus,107,180.6
Cape Town,Ward 15,107,1281.58
Istanbul,Bakirkoy,106,716.16
Rome,VI Roma delle Torri,106,81.06
New York,Theater District,106,237.73
Sydney,Lane Cove,105,91.72
Istanbul,Kucukcekmece,104,1445.32
Sydney,Hurstville,104,63.24
Rio de Janeiro,Vila Isabel,104,186.04
Istanbul,Avcilar,104,152.17
Cape Town,Ward 84,103,951.8
Rio de Janeiro,Leme,103,267.88
New York,Morningside Heights,103,151.91
Bangkok,Ratchathewi,103,1390.21
Cape Town,Ward 58,103,703.53
Sydney,Sydney,102,233.73
Mexico City,Iztapalapa,101,658.69
Paris,Vaugirard,101,142.54
Cape Town,Ward 70,101,1075.1
New York,Chinatown,101,84.63
Cape Town,Ward 21,100,1284.4
Paris,Batignolles-Monceau,99,195.88
