city,neighbourhood,total_count
Paris,Luxembourg,111
Rio de Janeiro,Copacabana,110
Hong Kong,Eastern,110
Cape Town,Ward 100,110
New York,Boerum Hill,109
Istanbul,Sile,109
Bangkok,Thon buri,109
Istanbul,Eyup,108
Mexico City,Iztacalco,108
Bangkok,Phasi Charoen,108
Rome,IX Eur,108
Rio de Janeiro,Humaita,108
Hong Kong,Wan Chai,108
Bangkok,Bang Phlat,108
Cape Town,Ward 15,107
Bangkok,Bang Sue,107
Istanbul,Umraniye,107
New York,Jamaica,107
New York,Gowanus,107
Istanbul,Bakirkoy,106
Rome,VI Roma delle Torri,106
New York,Theater District,106
Sydney,Lane Cove,105
Sydney,Hurstville,104
Rio de Janeiro,Vila Isabel,104
Istanbul,Kucukcekmece,104
Istanbul,Avcilar,104
Rio de Janeiro,Leme,103
New York,Morningside Heights,103
Cape Town,Ward 84,103
Bangkok,Ratchathewi,103
Cape Town,Ward 58,103
Sydney,Sydney,102
Paris,Vaugirard,101
Mexico City,Iztapalapa,101
Cape Town,Ward 70,101
New York,Chinatown,101
Cape Town,Ward 21,100
Paris,Batignolles-Monceau,99
Mexico City,Azcapotzalco,99
New York,Ditmars Steinway,98
Istanbul,Kartal,98
Sydney,Penrith,97
New York,Flushing,97
New York,East New York,97
Bangkok,Bang Kho laen,97
New York,Sunnyside,97
New York,Ridgewood,93
Rome,XIII Aurelia,93
Mexico City,La Magdalena Contreras,93
New York,Inwood,93
Bangkok,Pra Wet,91
New York,Prospect Heights,91
New York,Park Slope,91
Hong Kong,Yuen Long,91
New York,Fort Greene,91
Bangkok,Bang Rak,90
Rio de Janeiro,Sao Conrado,90
Sydney,Pittwater,89
New York,Kips Bay,89
Sydney,Mosman,89
New York,Brooklyn Heights,88
Istanbul,Pendik,88
Bangkok,Phra Nakhon,88
Bangkok,Pra Wet,88
Cape Town,Ward 53,88
Mexico City,Xochimilco,87
Bangkok,Wang Thong Lang,87
New York,West Village,86
Cape Town,Ward 55,86
Istanbul,Kartal,86
New York,East New York,86
Cape Town,Ward 115,86
Rio de Janeiro,Maracana,85
New York,East Elmhurst,85
New York,Gramercy,84
Rome,VII San Giovanni/Cinecitta,84
Istanbul,Fatih,84
New York,SoHo,84
Istanbul,Sisli,84
Bangkok,Lak Si,83
Rio de Janeiro,Freguesia (Jacarepagua),83
Hong Kong,Sham Shui Po,83
Paris,Passy,83
Bangkok,Bang Khen,82
New York,Little Italy,81
Sydney,Waverley,81
New York,Midtown,81
Paris,Pantheon,81
Rome,I Centro Storico,81
New York,Sheepshead Bay,80
Sydney,Bankstown,80
Istanbul,Bahcelievler,80
Bangkok,Dusit,80
Hong Kong,Islands,80
Cape Town,Ward 21,79
Bangkok,Yan na wa,79
Paris,Palais-Bourbon,79
Paris,Enclos-St-Laurent,78
Istanbul,Kucukcekmece,78
Bangkok,Pom Prap Sattru Phai,77
Rio de Janeiro,Jardim Botanico,76
New York,Inwood,76
Cape Town,Ward 70,76
Bangkok,Bang Rak,76
Bangkok,Ratchathewi,75
Rome,II Parioli/Nomentano,75
Paris,Louvre,75
Cape Town,Ward 69,75
Rio de Janeiro,Urca,74
Bangkok,Wang Thong Lang,74
Istanbul,Beylikduzu,74
Sydney,Liverpool,74
Paris,Buttes-Montmartre,74
Rio de Janeiro,Vila Isabel,73
Istanbul,Sisli,73
New York,Theater District,72
Istanbul,Buyukcekmece,72
New York,Canarsie,72
Sydney,City Of Kogarah,72
New York,Jamaica,71
Rio de Janeiro,Itanhanga,71
Bangkok,Vadhana,69
New York,Nolita,69
New York,Greenwich Village,69
New York,Cypress Hills,69
Bangkok,Phasi Charoen,69
Cape Town,Ward 112,68
Rio de Janeiro,Vidigal,68
Sydney,Hurstville,68
Rio de Janeiro,Joa,67
Rio de Janeiro,Vargem Pequena,67
Paris,Buttes-Chaumont,66
Cape Town,Ward 2,66
New York,Kensington,66
Sydney,Penrith,66
Istanbul,Kadikoy,66
Cape Town,Ward 1,66
Rio de Janeiro,Itanhanga,66
Rio de Janeiro,Maracana,65
New York,Windsor Terrace,65
Sydney,Burwood,65
Rio de Janeiro,Campo Grande,64
Cape Town,Ward 2,64
Sydney,Blacktown,64
Istanbul,Sile,63
Bangkok,Samphanthawong,63
New York,Maspeth,63
Istanbul,Zeytinburnu,62
New York,Bay Ridge,62
Sydney,Liverpool,62
Cape Town,Ward 105,62
Istanbul,Gaziosmanpasa,61
New York,Borough Park,61
New York,Canarsie,61
Rio de Janeiro,Lagoa,60
Istanbul,Adalar,60
New York,Woodside,60
Sydney,Campbelltown,60
Bangkok,Parthum Wan,60
Sydney,Holroyd,60
Bangkok,Bang Khen,60
New York,Flatiron District,59
New York,Jackson Heights,59
Mexico City,Xochimilco,59
New York,South Slope,59
Rio de Janeiro,Vargem Grande,59
New York,Cobble Hill,58
Hong Kong,Sham Shui Po,58
Istanbul,Tuzla,58
Rio de Janeiro,Gavea,58
Cape Town,Ward 85,58
Bangkok,Bang Khae,58
Rio de Janeiro,Catete,57
Rio de Janeiro,Taquara,57
New York,East Elmhurst,57
Rio de Janeiro,Gloria,57
Bangkok,Bangkok Yai,57
Sydney,Strathfield,56
New York,Gowanus,56
Cape Town,Ward 73,56
New York,Battery Park City,56
Rio de Janeiro,Humaita,56
Istanbul,Beykoz,56
New York,Murray Hill,56
