city,neighbourhood,room_type,average_price
Paris,Opera,Private room,117.27
New York,Jackson Heights,Entire place,117.19
Rome,II Parioli/Nomentano,Private room,116.82
New York,North Riverdale,Entire place,116.67
Sydney,Warringah,Hotel room,116.6
New York,West Village,Hotel room,116.29
New York,Laurelton,Entire place,116.27
Rio de Janeiro,Laranjeiras,Shared room,116.14
New York,Clason Point,Entire place,115.63
New York,Longwood,Entire place,115.62
Sydney,Penrith,Private room,115.47
Paris,Opera,Entire place,115.15
Rio de Janeiro,Parque Anchieta,Private room,115
Rio de Janeiro,Saude,Private room,114.89
New York,East New York,Entire place,114.78
New York,Long Island City,Hotel room,114.71
New York,Spuyten Duyvil,Entire place,114.5
Paris,Bourse,Private room,114.02
Rio de Janeiro,Bancarios,Private room,114
Sydney,Marrickville,Hotel room,113.5
Istanbul,Atasehir,Shared room,113.38
New York,Stapleton,Private room,113.17
New York,Woodhaven,Entire place,113.1
New York,Clifton,Entire place,112.83
New York,St. George,Entire place,112.76
Paris,Hotel-de-Ville,Shared room,112.55
Rio de Janeiro,Encantado,Private room,112.43
New York,Jamaica Estates,Shared room,112.2
New York,Bayside,Hotel room,112
Sydney,Willoughby,Hotel room,112
New York,Oakwood,Entire place,112
Rome,IX Eur,Hotel room,111.95
Sydney,Manly,Private room,111.92
Rome,XV Cassia/Flaminia,Entire place,111.91
New York,Upper East Side,Private room,111.01
New York,Graniteville,Entire place,111
New York,Morrisania,Entire place,110.67
New York,Briarwood,Entire place,110.43
New York,Bath Beach,Entire place,110.22
New York,Flatiron District,Hotel room,110
Rio de Janeiro,Gericino,Private room,110
New York,Mount Eden,Entire place,110
New York,University Heights,Entire place,110
Rio de Janeiro,Curicica,Shared room,109.83
New York,Pelham Gardens,Entire place,109.4
New York,Borough Park,Entire place,108.77
Rio de Janeiro,Taua,Private room,108.25
Rio de Janeiro,Sampaio,Shared room,108
New York,Edenwald,Private room,107.73
Paris,Vaugirard,Entire place,107.54
New York,Mount Eden,Private room,107.5
New York,New Dorp,Entire place,107.5
Rio de Janeiro,Portuguesa,Private room,107.44
Sydney,Canada Bay,Private room,107.28
Rio de Janeiro,Cachambi,Private room,107
Rome,II Parioli/Nomentano,Entire place,106.69
Rome,XIII Aurelia,Entire place,106.64
Paris,Enclos-St-Laurent,Entire place,106.57
Paris,Pantheon,Private room,106.54
New York,Bensonhurst,Entire place,106.38
Sydney,Strathfield,Private room,106.19
New York,Douglaston,Entire place,106
Rome,I Centro Storico,Hotel room,105.77
Paris,Gobelins,Entire place,105.68
New York,Downtown Brooklyn,Private room,105.33
New York,Kingsbridge,Entire place,105.21
New York,Chinatown,Shared room,105
New York,Richmondtown,Private room,105
New York,Highbridge,Entire place,104.91
New York,Baychester,Entire place,104.88
New York,Cobble Hill,Private room,104.83
New York,Hell's Kitchen,Shared room,104.81
New York,Norwood,Entire place,104.8
Rio de Janeiro,Vicente de Carvalho,Private room,104.75
New York,Concourse,Entire place,104.39
New York,Financial District,Private room,104.26
Sydney,Warringah,Private room,103.92
New York,Hollis,Entire place,103.8
Rio de Janeiro,Jardim Carioca,Private room,103.25
Paris,Luxembourg,Private room,103.18
New York,Dyker Heights,Entire place,102.71
New York,Rockaway Beach,Private room,102.58
Sydney,The Hills Shire,Shared room,102.5
New York,Gowanus,Hotel room,102
New York,Shore Acres,Private room,102
New York,Upper West Side,Private room,101.87
Rome,XI Arvalia/Portuense,Hotel room,101.67
Paris,Reuilly,Hotel room,101.38
Paris,Batignolles-Monceau,Entire place,100.85
New York,Williamsburg,Shared room,100.3
Sydney,Waverley,Private room,100.3
Rome,IX Eur,Entire place,100.17
Sydney,Botany Bay,Private room,100.05
New York,Todt Hill,Private room,100
New York,SoHo,Shared room,100
Rio de Janeiro,Cachambi,Shared room,100
Rio de Janeiro,Anil,Shared room,100
Rio de Janeiro,Praia da Bandeira,Entire place,100
New York,Astoria,Hotel room,100
Sydney,Canterbury,Shared room,99.8
New York,Battery Park City,Private room,99.58
Rio de Janeiro,Praca Seca,Private room,99.54
New York,Midwood,Entire place,99.52
New York,Inwood,Entire place,99.32
New York,Stuyvesant Town,Private room,99.19
Rio de Janeiro,Taquara,Hotel room,99
New York,Great Kills,Entire place,99
Rio de Janeiro,Estacio,Hotel room,99
Paris,Vaugirard,Private room,98.82
Rio de Janeiro,Gloria,Shared room,98.71
New York,Morris Park,Entire place,98.43
New York,Coney Island,Entire place,98.43
Paris,Batignolles-Monceau,Private room,98.11
New York,Glendale,Entire place,98
Rio de Janeiro,Andarai,Shared room,97.75
New York,Columbia St,Private room,97.5
New York,Park Slope,Private room,97.47
Sydney,Randwick,Private room,97.17
Paris,Observatoire,Entire place,96.21
New York,Boerum Hill,Private room,95.7
New York,Sea Gate,Private room,95.6
New York,Nolita,Private room,95.38
Rio de Janeiro,Vasco da Gama,Shared room,95
Hong Kong,North,Shared room,95
New York,Bay Terrace,Private room,94.5
Rio de Janeiro,Quintino Bocaiuva,Private room,94.5
Sydney,Sutherland Shire,Private room,94.47
New York,Midtown,Shared room,94.17
New York,City Island,Private room,94
Paris,Reuilly,Entire place,93.98
Paris,Popincourt,Entire place,93.82
Rome,XII Monte Verde,Entire place,93.78
New York,St. Albans,Private room,93.65
New York,Manhattan Beach,Entire place,93.25
New York,Grant City,Entire place,93
Rome,XIII Aurelia,Hotel room,92.8
Sydney,Parramatta,Hotel room,92.5
New York,Wakefield,Private room,92.34
New York,Clinton Hill,Private room,91.84
Sydney,Lane Cove,Private room,91.72
Sydney,Warringah,Shared room,91.67
New York,Murray Hill,Hotel room,91.56
New York,Little Neck,Entire place,91
Sydney,Ku-Ring-Gai,Private room,90.97
Paris,Passy,Private room,90.84
New York,Norwood,Private room,90.42
New York,Arverne,Private room,90.3
Rome,XIV Monte Mario,Entire place,90.15
Rio de Janeiro,Cacuia,Private room,90
Rio de Janeiro,Paqueta,Shared room,90
Rio de Janeiro,Mangueira,Private room,90
New York,Little Neck,Private room,90
New York,Kew Gardens Hills,Shared room,90
New York,Sheepshead Bay,Private room,89.79
New York,Canarsie,Private room,89.64
New York,Upper East Side,Shared room,89.61
Paris,Buttes-Montmartre,Entire place,89.4
New York,Claremont Village,Entire place,89.29
Paris,Temple,Private room,89.1
New York,Shore Acres,Shared room,89
New York,South Beach,Entire place,89
New York,Howard Beach,Private room,88.6
Rio de Janeiro,Madureira,Private room,88
New York,Upper West Side,Shared room,87.77
Rome,IV Tiburtina,Entire place,87.63
Paris,Buttes-Chaumont,Entire place,87.51
New York,Bergen Beach,Private room,87.5
Sydney,Parramatta,Shared room,87.29
New York,Silver Lake,Entire place,87
Rio de Janeiro,Maria da Graca,Private room,86.83
New York,Gramercy,Private room,86.4
New York,Harlem,Shared room,85.84
Rome,III Monte Sacro,Entire place,85.7
New York,Westchester Square,Entire place,85.5
New York,Ozone Park,Private room,85
New York,Briarwood,Shared room,85
New York,Country Club,Private room,85
New York,Civic Center,Private room,85
Rio de Janeiro,Leme,Hotel room,85
New York,Chinatown,Private room,84.63
Rome,XV Cassia/Flaminia,Hotel room,84.31
Sydney,Manly,Shared room,84.17
Sydney,Camden,Private room,84.07
New York,Mott Haven,Private room,84.07
Sydney,Bankstown,Shared room,83.75
Rome,VIII Appia Antica,Entire place,83.63
Sydney,Parramatta,Private room,83.39
New York,Little Italy,Private room,83.33
Rio de Janeiro,Barros Filho,Entire place,83
New York,Belmont,Entire place,83
Istanbul,Zeytinburnu,Shared room,83
New York,Todt Hill,Entire place,82.5
New York,Fresh Meadows,Private room,82.45
New York,Bronxdale,Entire place,82.43
Rio de Janeiro,Galeao,Entire place,82.33
Rome,XI Arvalia/Portuense,Entire place,82
Sydney,Rockdale,Private room,81.8
New York,Longwood,Private room,81.54
New York,Roosevelt Island,Private room,81.41
Rome,VI Roma delle Torri,Entire place,81.06
Rome,VII San Giovanni/Cinecitta,Entire place,81.05
Sydney,Fairfield,Private room,81.02
Rio de Janeiro,Mangueira,Shared room,81
New York,Bayswater,Private room,80.54
Rio de Janeiro,Iraja,Shared room,80.5
New York,Fresh Meadows,Shared room,80
New York,Clifton,Private room,80
New York,Midland Beach,Private room,80
New York,Far Rockaway,Shared room,80
Rio de Janeiro,Praca da Bandeira,Hotel room,80
New York,Rossville,Entire place,80
Rio de Janeiro,Bangu,Shared room,80
New York,Coney Island,Shared room,80
New York,Pelham Gardens,Private room,79.92
Paris,Menilmontant,Entire place,79.5
New York,Lower East Side,Shared room,79.45
New York,East Morrisania,Private room,79.43
New York,Two Bridges,Private room,79.43
Rio de Janeiro,Padre Miguel,Private room,79.33
Istanbul,Esenler,Shared room,79.32
New York,East Harlem,Private room,79.27
New York,Concourse Village,Entire place,79.2
Sydney,Rockdale,Shared room,79.19
New York,South Ozone Park,Private room,79.12
New York,St. George,Shared room,79
New York,Cobble Hill,Shared room,79
New York,Co-op City,Private room,78.8
New York,Williamsburg,Private room,78.53
New York,Rego Park,Private room,78.48
Rio de Janeiro,Sao Conrado,Shared room,78.36
New York,Morningside Heights,Private room,78.13
Rio de Janeiro,Penha Circular,Shared room,78
Rome,III Monte Sacro,Hotel room,77.82
New York,Greenpoint,Private room,77.6
Sydney,Canterbury,Private room,77.56
New York,Morris Heights,Private room,77.53
New York,Financial District,Shared room,77.5
Istanbul,Cekmekoy,Shared room,77.5
Sydney,Bankstown,Private room,77.35
Paris,Batignolles-Monceau,Shared room,77.16
New York,Whitestone,Private room,77
New York,Navy Yard,Private room,77
Rome,X Ostia/Acilia,Entire place,76.84
Sydney,Burwood,Private room,76.68
New York,Nolita,Shared room,76.67
New York,Harlem,Private room,76.5
Sydney,Liverpool,Private room,76.24
New York,Gowanus,Private room,76.18
Istanbul,Catalca,Shared room,76
New York,Middle Village,Private room,76
Rio de Janeiro,Rocinha,Shared room,76
New York,Kew Gardens,Private room,75.91
New York,Long Island City,Private room,75.37
Sydney,The Hills Shire,Private room,75.02
New York,Bayswater,Entire place,75
New York,Flatlands,Private room,74.81
New York,Kingsbridge,Private room,74.53
New York,South Slope,Private room,74.25
New York,Fort Hamilton,Private room,74.2
Sydney,Ryde,Private room,74.17
New York,East Village,Shared room,74.14
Rome,V Prenestino/Centocelle,Hotel room,74
New York,Parkchester,Private room,73.89
New York,Forest Hills,Private room,73.81
New York,Chelsea,Shared room,73.62
Rio de Janeiro,Meier,Shared room,73.5
Paris,Enclos-St-Laurent,Private room,73.41
New York,Fort Greene,Private room,73.34
New York,Far Rockaway,Private room,73.25
New York,Melrose,Entire place,73
Sydney,Willoughby,Shared room,72.75
New York,Ditmars Steinway,Shared room,72.5
New York,Woodside,Shared room,72.5
New York,Cypress Hills,Shared room,72
New York,Parkchester,Shared room,72
Rio de Janeiro,Bras de Pina,Entire place,72
Sydney,Manly,Hotel room,72
New York,Great Kills,Private room,72
New York,Bellerose,Private room,72
New York,Hunts Point,Entire place,71.83
New York,New Dorp Beach,Private room,71.67
Sydney,Marrickville,Private room,71.67
New York,Soundview,Entire place,71.67
New York,Stuyvesant Town,Shared room,71.67
New York,Castle Hill,Entire place,71
New York,North Riverdale,Private room,70.75
New York,Forest Hills,Shared room,70.5
New York,Rosebank,Private room,70.5
Rome,VII San Giovanni/Cinecitta,Hotel room,70.17
Rio de Janeiro,Honorio Gurgel,Entire place,70
Rio de Janeiro,Vila da Penha,Entire place,70
New York,Prospect Heights,Private room,69.86
New York,Cambria Heights,Private room,69.33
New York,Concourse,Private room,69.32
New York,Morris Park,Private room,69.25
Rome,IV Tiburtina,Hotel room,69.2
New York,Crown Heights,Shared room,69.11
Sydney,Sutherland Shire,Shared room,69
New York,Douglaston,Private room,69
Paris,Passy,Shared room,68.9
New York,Astoria,Private room,68.89
New York,Bayside,Private room,68.84
Rio de Janeiro,Bras de Pina,Shared room,68.67
New York,Arrochar,Private room,68.56
Rio de Janeiro,Tomas Coelho,Private room,68.5
Sydney,City Of Kogarah,Private room,68.47
New York,Springfield Gardens,Private room,68.27
Rio de Janeiro,Penha Circular,Private room,68.25
New York,Richmondtown,Entire place,68
Rio de Janeiro,Leblon,Shared room,68
New York,New Springville,Private room,68
New York,Rego Park,Shared room,68
Sydney,Auburn,Shared room,67.78
New York,Downtown Brooklyn,Shared room,67.5
Rio de Janeiro,Bonsucesso,Private room,67.21
New York,Crown Heights,Private room,66.6
New York,Riverdale,Private room,66.5
New York,Emerson Hill,Private room,66.5
Rome,II Parioli/Nomentano,Hotel room,66.23
New York,Ditmars Steinway,Private room,66.16
Rome,XII Monte Verde,Shared room,66.08
New York,Theater District,Shared room,66
New York,Bedford-Stuyvesant,Private room,65.81
Rome,IX Eur,Shared room,65.75
Rome,XIII Aurelia,Private room,65.6
New York,Claremont Village,Private room,65.56
Sydney,Hornsby,Private room,65.52
New York,Van Nest,Private room,65.5
Rio de Janeiro,Rocinha,Private room,65.4
Rome,XV Cassia/Flaminia,Private room,65.08
New York,Richmond Hill,Private room,65.05
Sydney,Blacktown,Private room,65.04
New York,West Farms,Private room,65
Sydney,Blacktown,Shared room,65
Sydney,Ku-Ring-Gai,Shared room,65
Rio de Janeiro,Ramos,Shared room,65
Rio de Janeiro,Vargem Pequena,Hotel room,65
New York,Gravesend,Private room,65
New York,Brighton Beach,Private room,64.92
New York,East Flatbush,Private room,64.74
New York,Flushing,Private room,64.68
New York,Fordham,Private room,64.62
Rio de Janeiro,Senador Camara,Private room,64.33
Paris,Louvre,Shared room,63.83
Paris,Palais-Bourbon,Shared room,63.83
New York,Fordham,Shared room,63.75
New York,Rosedale,Private room,63.74
New York,Washington Heights,Private room,63.62
New York,Baychester,Private room,63.6
New York,Hollis,Private room,63.4
Paris,Buttes-Montmartre,Private room,63.36
New York,East New York,Shared room,63.33
New York,St. George,Private room,63.25
Sydney,Hurstville,Private room,63.24
Rio de Janeiro,Parada de Lucas,Private room,63
New York,Fieldston,Private room,63
New York,Red Hook,Private room,62.78
New York,East Flatbush,Shared room,62.73
New York,Windsor Terrace,Private room,62.7
New York,Brownsville,Private room,62.63
Paris,Gobelins,Private room,62.53
New York,Flatbush,Private room,62.53
Rio de Janeiro,Parque Anchieta,Shared room,62.5
New York,Concourse,Shared room,62.5
Paris,Buttes-Montmartre,Shared room,62.42
New York,Prospect-Lefferts Gardens,Private room,62.34
New York,South Beach,Private room,62
New York,Maspeth,Private room,61.87
Sydney,Holroyd,Shared room,61.67
New York,Olinville,Private room,61.67
Sydney,Ryde,Shared room,61.42
New York,Tremont,Private room,61.4
New York,Bushwick,Private room,61.39
New York,Williamsbridge,Private room,61.33
New York,Jamaica,Private room,61.26
Sydney,Canada Bay,Shared room,61.25
New York,Sunset Park,Private room,61.16
New York,Concord,Private room,61
New York,Coney Island,Private room,61
New York,Bay Ridge,Private room,60.82
New York,Kew Gardens Hills,Private room,60.67
New York,College Point,Private room,60.64
Rome,X Ostia/Acilia,Hotel room,60.6
New York,Bath Beach,Private room,60.5
Rio de Janeiro,Coelho Neto,Private room,60.5
Rome,XIV Monte Mario,Private room,60.48
Sydney,North Sydney,Shared room,60.2
Rio de Janeiro,Flamengo,Shared room,60.15
Sydney,Mosman,Shared room,60
Rio de Janeiro,Bonsucesso,Shared room,60
New York,Bull's Head,Entire place,60
New York,Unionport,Private room,60
Rio de Janeiro,Piedade,Shared room,60
Sydney,Lane Cove,Hotel room,60
New York,Midwood,Private room,59.95
New York,Jamaica Hills,Private room,59.83
New York,West Brighton,Private room,59.71
Paris,Reuilly,Private room,59.7
New York,Eastchester,Private room,59.4
Paris,Buttes-Chaumont,Private room,59.35
Sydney,Waverley,Shared room,59.23
Rome,X Ostia/Acilia,Private room,59.08
New York,Clason Point,Private room,59
New York,East New York,Private room,58.92
Rome,V Prenestino/Centocelle,Entire place,58.92
New York,Sunnyside,Private room,58.7
Paris,Pantheon,Shared room,58.67
Rio de Janeiro,Gavea,Shared room,58.5
New York,Throgs Neck,Private room,58.1
New York,Cypress Hills,Private room,58.03
New York,Westchester Square,Private room,58
New York,Allerton,Private room,57.72
New York,Emerson Hill,Entire place,57.5
Rio de Janeiro,Engenho Novo,Shared room,57.5
New York,Mill Basin,Private room,57.5
Paris,Bourse,Shared room,57.1
Sydney,Randwick,Shared room,57.05
New York,Borough Park,Private room,56.66
New York,Clinton Hill,Shared room,56.33
New York,Ridgewood,Private room,56.31
New York,Corona,Private room,56.17
Rome,VIII Appia Antica,Hotel room,56.06
Rome,XII Monte Verde,Private room,56.05
Rio de Janeiro,Coelho Neto,Shared room,56
New York,Bensonhurst,Private room,55.97
Paris,Popincourt,Private room,55.83
New York,East Elmhurst,Private room,55.8
Rome,XIV Monte Mario,Hotel room,55.75
New York,Inwood,Private room,55.74
Paris,Temple,Shared room,55.71
New York,Greenwich Village,Shared room,55.67
New York,Concourse Village,Private room,55.25
New York,Norwood,Shared room,55
Sydney,Hurstville,Shared room,54.25
New York,Kensington,Private room,54.13
New York,Laurelton,Private room,54.06
Rio de Janeiro,Deodoro,Private room,54
New York,Port Richmond,Entire place,54
New York,East Elmhurst,Shared room,54
Rome,IV Tiburtina,Shared room,53.71
New York,Tompkinsville,Private room,53.67
Rome,VIII Appia Antica,Private room,53.58
New York,Bronxdale,Private room,53.55
New York,Jackson Heights,Shared room,53.33
New York,Mariners Harbor,Private room,53.2
New York,Jackson Heights,Private room,53.11
New York,Eltingville,Private room,53
New York,East Harlem,Shared room,52.89
New York,Woodhaven,Private room,52.81
New York,Schuylerville,Private room,52.78
New York,Ozone Park,Shared room,52.75
New York,Concourse Village,Shared room,52
Paris,Vaugirard,Shared room,51.78
New York,Gowanus,Shared room,51.75
New York,Queens Village,Private room,51.72
New York,Elmhurst,Private room,51.15
New York,Dyker Heights,Private room,51.11
New York,Bay Ridge,Shared room,51.11
New York,Bronxdale,Shared room,51
New York,Mount Hope,Private room,50.25
New York,Highbridge,Private room,50.21
Rome,VII San Giovanni/Cinecitta,Private room,50.16
New York,College Point,Shared room,50
Rio de Janeiro,Cidade Universitaria,Shared room,50
Rio de Janeiro,Benfica,Private room,50
New York,Port Morris,Private room,50
Rio de Janeiro,Riachuelo,Shared room,50
Sydney,Burwood,Shared room,50
New York,Bushwick,Hotel room,50
Sydney,Ashfield,Shared room,50
Rio de Janeiro,Senador Camara,Shared room,50
Rio de Janeiro,Jardim Carioca,Entire place,50
Paris,Observatoire,Shared room,49.92
Sydney,Lane Cove,Shared room,49.6
New York,Melrose,Private room,49.6
New York,New Brighton,Private room,49
Sydney,Holroyd,Hotel room,49
Sydney,City Of Kogarah,Shared room,48.67
New York,Corona,Shared room,48.39
Paris,Menilmontant,Private room,48.36
New York,Chelsea,Hotel room,48.33
New York,Greenpoint,Shared room,48.18
Rome,IX Eur,Private room,48.01
Rio de Janeiro,Cascadura,Shared room,48
New York,Roosevelt Island,Shared room,48
Paris,Luxembourg,Shared room,47.67
New York,Park Slope,Shared room,47
Rio de Janeiro,Gamboa,Shared room,47
New York,Glendale,Private room,46.47
Rome,XI Arvalia/Portuense,Private room,46.37
Paris,Opera,Shared room,46.3
Sydney,Sydney,Shared room,46.25
Rio de Janeiro,Engenho de Dentro,Shared room,46
New York,Inwood,Shared room,46
New York,Bull's Head,Private room,46
Rio de Janeiro,Bento Ribeiro,Shared room,46
New York,Port Richmond,Private room,46
New York,Kensington,Shared room,45.67
Paris,Elysee,Shared room,45.64
New York,Edgemere,Private room,45.6
New York,Graniteville,Private room,45
New York,Castleton Corners,Private room,45
New York,Marble Hill,Private room,44.5
New York,Maspeth,Shared room,44.5
Rome,XII Monte Verde,Hotel room,44.44
New York,University Heights,Private room,44
New York,Queens Village,Shared room,43.33
New York,Manhattan Beach,Private room,43
Rome,IV Tiburtina,Private room,42.68
New York,Sunnyside,Shared room,42.67
New York,Morrisania,Private room,42.6
New York,Tremont,Shared room,42.5
Paris,Reuilly,Shared room,42.21
Rome,VI Roma delle Torri,Shared room,42
New York,Hunts Point,Private room,41.88
Rome,III Monte Sacro,Private room,41.41
New York,Bensonhurst,Shared room,41.33
New York,Borough Park,Shared room,40.83
Paris,Enclos-St-Laurent,Shared room,40.75
New York,Bushwick,Shared room,40.34
New York,Soundview,Private room,40.3
Rio de Janeiro,Quintino Bocaiuva,Shared room,40
Rio de Janeiro,Cosme Velho,Shared room,40
Rio de Janeiro,Realengo,Shared room,40
Rio de Janeiro,Maria da Graca,Shared room,40
Rome,XIII Aurelia,Shared room,39.71
Rome,II Parioli/Nomentano,Shared room,39.56
New York,Belmont,Private room,39.27
Rio de Janeiro,Vila Kosmos,Private room,39
New York,Woodside,Private room,38.88
Rome,V Prenestino/Centocelle,Private room,37.69
New York,Spuyten Duyvil,Private room,37
New York,Battery Park City,Shared room,37
New York,Flatbush,Shared room,36.92
Rome,VI Roma delle Torri,Private room,36.73
Rome,III Monte Sacro,Shared room,36.6
Sydney,Woollahra,Shared room,36.36
New York,Jamaica,Shared room,36.25
New York,Bedford-Stuyvesant,Shared room,36.15
Paris,Menilmontant,Shared room,36
New York,Arden Heights,Private room,36
New York,Flatlands,Shared room,36
Rome,VII San Giovanni/Cinecitta,Shared room,35.63
Sydney,Marrickville,Shared room,35.58
Sydney,Camden,Shared room,35
Sydney,Leichhardt,Shared room,35
New York,Schuylerville,Shared room,35
New York,Grant City,Private room,34.67
New York,Midwood,Shared room,34.6
New York,Elmhurst,Shared room,34.3
New York,Gravesend,Shared room,33.4
Sydney,Campbelltown,Shared room,33.33
Paris,Popincourt,Shared room,33.02
New York,Sheepshead Bay,Shared room,32.86
New York,Woodlawn,Private room,32.67
Paris,Gobelins,Shared room,32.4
New York,Little Neck,Shared room,32
Rome,V Prenestino/Centocelle,Shared room,31.36
New York,Van Nest,Shared room,31
Rome,I Centro Storico,Shared room,30.63
Rome,XV Cassia/Flaminia,Shared room,30
New York,Gerritsen Beach,Private room,30
New York,St. Albans,Shared room,29
New York,Sunset Park,Shared room,28.4
New York,Woodhaven,Shared room,28
Sydney,Hornsby,Shared room,28
New York,Ridgewood,Shared room,27.75
Paris,Buttes-Chaumont,Shared room,27.11
New York,Brownsville,Shared room,27
New York,Olinville,Shared room,26
Rome,XI Arvalia/Portuense,Shared room,25
New York,Concord,Shared room,25
New York,Prospect-Lefferts Gardens,Shared room,22
New York,Port Morris,Shared room,21.92
Rome,XIV Monte Mario,Shared room,21
New York,Kew Gardens,Shared room,20
Rome,VIII Appia Antica,Shared room,19.6
New York,Holliswood,Shared room,16
New York,Mott Haven,Hotel room,0
Mexico City,Iztapalapa,Hotel room,0
New York,Kips Bay,Hotel room,0
New York,Williamsburg,Hotel room,0
New York,East Village,Hotel room,0
New York,Two Bridges,Hotel room,0
